NumeroTicket|ItemID|Item|Resumen|Ubicacion|ModoReporte|Estado|FechaCreacion|FechaTermino|FechaCierre|Prioridad
WO0000005333924|123|INODOROS|REVISAR|NAZCA - 440000|Web HD|Cerrado|2025-06-20|25-06-25|28/06/2025|3
WO0000005334632|120|INDECI|REALIZAR MANTENIMIENTO REGULATORIO|GRAU (LIMA) - 191005|Web HD|Cerrado|2025-06-21|28-08-25|31/08/2025|1
WO0000005336682|233|TABLERO ELECTRICO CONTACTOR|REVISAR|SOCABAYA - 215017|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|3
WO0000005336264|57|CONTADOR DE MONEDAS|REPARAR|PARCONA - 380007|Web HD|Cerrado|2025-06-22|25-06-25|28/06/2025|3
WO0000005336681|56|CONTADOR DE BILLETES|REPARAR|PARURO - 191047|Web HD|Rechazado|2025-06-22|||1
WO0000005336272|56|CONTADOR DE BILLETES|REPARAR|EMANCIPACION - 191054|Web HD|Rechazado|2025-06-22|||3
WO0000005338251|215|SENSOR DE MAMPARA|REPARAR|MALA - 255002|Web HD|Cerrado|2025-06-22|25-06-25|28/06/2025|2
WO0000005337064|56|CONTADOR DE BILLETES|REPARAR|PARURO - 191047|Web HD|Cerrado|2025-06-22|01-07-25|04/07/2025|1
WO0000005337709|57|CONTADOR DE MONEDAS|REPARAR|CHOSICA - 191075|Web HD|Cerrado|2025-06-22|27-06-25|30/06/2025|2
WO0000005338247|170|PIR ANTEBOVEDA|REPARAR|EL CARMEN - 315001|Web HD|Cerrado|2025-06-22|25-06-25|28/06/2025|3
WO0000005338240|215|SENSOR DE MAMPARA|REPARAR|MERCADO DE PRODUCTORES - 191061|Web HD|Cerrado|2025-06-22|27-06-25|30/06/2025|1
WO0000005338246|215|SENSOR DE MAMPARA|REPARAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-22|24-06-25|27/06/2025|1
WO0000005336265|57|CONTADOR DE MONEDAS|REPARAR|PARCONA - 380007|Web HD|Cerrado|2025-06-22|24-06-25|27/06/2025|2
WO0000005336206|74|DISPENSADOR DE JABON LIQUIDO|REPARAR|MARISCAL CACERES - 220002|Web HD|Cerrado|2025-06-22|07-07-25|10/07/2025|3
WO0000005336223|5|AIRE ACONDICIONADO|REPARAR|LA RAMBLA BRASIL - 191166|Web HD|Cerrado|2025-06-22|02-07-25|05/07/2025|3
WO0000005336614|139|LONCHERA CERRADURA|REEMPLAZAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|2
WO0000005335790|32|CAJA BUZON|APERTURAR|COLONIAL - 192035|Web HD|Cerrado|2025-06-22|23-06-25|26/06/2025|2
WO0000005337057|108|FOCO FLOURESCENTES|CAMBIAR|CHOSICA - 191075|Web HD|Cerrado|2025-06-22|27-06-25|30/06/2025|1
WO0000005336224|65|CREDENZA CERRADURA|REEMPLAZAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|1
WO0000005336612|108|FOCO FLOURESCENTES|REVISAR|ELIO - 191067|Web HD|Cerrado|2025-06-22|25-06-25|28/06/2025|3
WO0000005336615|65|CREDENZA CERRADURA|REEMPLAZAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|2
WO0000005336667|123|INODOROS|REVISAR|LAS ALONDRAS - 191044|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|1
WO0000005336202|111|GRIFERIA|REVISAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|1
WO0000005336628|139|LONCHERA CERRADURA|REEMPLAZAR|LOS RUISE ORES - 191115|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|2
WO0000005336662|123|INODOROS|REVISAR|LOS RUISE ORES - 191115|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|3
WO0000005336270|249|TOMACORRIENTES|REVISAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|1
WO0000005335775|130|LAVATORIO|REPARAR|NAZCA - 440000|Web HD|Rechazado|2025-06-22|||3
WO0000005336213|154|OFICINA|DESRATIZAR|LA RAMBLA BRASIL - 191166|Web HD|Cerrado|2025-06-22|26-06-25|29/06/2025|1
WO0000005337088|192|PUERTA/MAMPARA BRAZO HIDRAULICO|REPARAR|SAN ROMAN - 405003|Web HD|Rechazado|2025-06-22|||3
WO0000005336659|31|CAJA / TAPA DE PASO|REVISAR|LOS RUISE ORES - 191115|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|3
WO0000005336258|56|CONTADOR DE BILLETES|REPARAR|PARCONA - 380007|Web HD|Cerrado|2025-06-22|24-06-25|27/06/2025|2
WO0000005336263|56|CONTADOR DE BILLETES|REPARAR|PARCONA - 380007|Web HD|Cerrado|2025-06-22|25-06-25|28/06/2025|3
WO0000005336618|188|PUERTA / MAMPARA|REPARAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|3
WO0000005336645|188|PUERTA / MAMPARA|REPARAR|LOS RUISE ORES - 191115|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|1
WO0000005336268|43|CAJONERA CERRADURA|REEMPLAZAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|1
WO0000005337054|139|LONCHERA CERRADURA|REEMPLAZAR|CHOSICA - 191075|Web HD|Rechazado|2025-06-22|||3
WO0000005336663|130|LAVATORIO|REPARAR|PARURO - 191047|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|3
WO0000005336627|43|CAJONERA CERRADURA|REEMPLAZAR|LOS RUISE ORES - 191115|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|3
WO0000005336609|188|PUERTA / MAMPARA|REPARAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|3
WO0000005336613|190|PUERTA / MAMPARA CERRADURA|REEMPLAZAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|2
WO0000005336219|65|CREDENZA CERRADURA|REEMPLAZAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-06-22|22-06-25|25/06/2025|2
WO0000005340085|159|PANEL CONTRA INCENDIO|REPARAR|CONSTRUCTORES - 193005|Web HD|Cerrado|2025-06-23|06-07-25|09/07/2025|1
WO0000005340025|154|OFICINA|FUMIGAR|DIAGONAL - 285003|Web HD|Cerrado|2025-06-23|23-06-25|26/06/2025|2
WO0000005341013|108|FOCO FLOURESCENTES|CAMBIAR|LA CULTURA - 285006|Web HD|Cerrado|2025-06-23|23-06-25|26/06/2025|1
WO0000005340011|163|PARED|PINTAR|MARISCAL CACERES - 220002|Web HD|Cerrado|2025-06-23|04-07-25|07/07/2025|1
WO0000005341549|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-06-23|01-07-25|04/07/2025|1
WO0000005340091|220|SERVIMATIC|REVISAR|LARAPA - 285005|Web HD|Cerrado|2025-06-23|26-06-25|29/06/2025|2
WO0000005341513|185|PRE INDECI|REALIZAR - PRE REGULATORIO|ARGENTINA - 191014|Web HD|Cerrado|2025-06-23|30-07-25|02/08/2025|3
WO0000005340050|163|PARED|RESANAR|MARISCAL CACERES - 220002|Web HD|Rechazado|2025-06-23|||3
WO0000005339783|73|DISPENSADOR DE AGUA|REPARAR|MARISCAL CACERES - 220002|Web HD|Cerrado|2025-06-23|25-06-25|28/06/2025|2
WO0000005342084|43|CAJONERA CERRADURA|APERTURAR|AYACUCHO - 220000|Web HD|Cerrado|2025-06-23|27-06-25|30/06/2025|3
WO0000005340029|163|PARED|PINTAR|PUNO - 495000|Web HD|Cerrado|2025-06-23|24-06-25|27/06/2025|2
WO0000005341501|190|PUERTA / MAMPARA CERRADURA|DUPLICADO DE LLAVE|NAZCA - 440000|Web HD|Cerrado|2025-06-23|26-06-25|29/06/2025|1
WO0000005340522|30|CABLEADO|ORDENAR|PRIMAX MELGAREJO - 193084|Web HD|Cerrado|2025-06-23|25-06-25|28/06/2025|3
WO0000005342064|15|ATM|REVISAR|MOLICENTRO - 193004|Web HD|Cerrado|2025-06-23|25-06-25|28/06/2025|2
WO0000005340515|111|GRIFERIA|REVISAR|TOWN SITE - 385001|Web HD|Cerrado|2025-06-23|10-07-25|13/07/2025|2
WO0000005339782|73|DISPENSADOR DE AGUA|REPARAR|AYACUCHO - 220000|Web HD|Cerrado|2025-06-23|25-06-25|28/06/2025|1
WO0000005340553|108|FOCO FLOURESCENTES|CAMBIAR|CAYMA - 215002|Web HD|Cerrado|2025-06-23|24-06-25|27/06/2025|3
WO0000005340010|180|PORTA AFICHES|REPARAR|MARISCAL CACERES - 220002|Web HD|Cerrado|2025-06-23|14-07-25|17/07/2025|1
WO0000005341516|108|FOCO FLOURESCENTES|CAMBIAR|CHOSICA - 191075|Web HD|Cerrado|2025-06-23|23-06-25|26/06/2025|2
WO0000005341529|47|CANDADO|REEMPLAZAR|LA NEGRITA - 215004|Web HD|Cerrado|2025-06-23|06-07-25|09/07/2025|2
WO0000005342081|32|CAJA BUZON|REPARAR|AYACUCHO - 220000|Web HD|Rechazado|2025-06-23|||2
WO0000005342540|154|OFICINA|FUMIGAR|MUSA - 193050|Web HD|Cerrado|2025-06-23|30-06-25|03/07/2025|1
WO0000005341540|56|CONTADOR DE BILLETES|REPARAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-06-23|01-07-25|04/07/2025|3
WO0000005340032|53|COMEDOR|LIMPIAR|QUILLABAMBA - 505000|Web HD|Cerrado|2025-06-23|26-06-25|29/06/2025|1
WO0000005342045|30|CABLEADO|REVISAR|ASIA - 194038|Web HD|Cerrado|2025-06-23|14-07-25|17/07/2025|2
WO0000005341534|57|CONTADOR DE MONEDAS|REPARAR|SANTA ANITA - 191052|Web HD|Cerrado|2025-06-23|25-06-25|28/06/2025|1
WO0000005341015|180|PORTA AFICHES|REPARAR|LA CULTURA - 285006|Web HD|Cerrado|2025-06-23|23-06-25|26/06/2025|2
WO0000005340054|6|ALFOMBRAS|REPARAR|LA RAMBLA BRASIL - 191166|Web HD|Cerrado|2025-06-23|25-06-25|28/06/2025|2
WO0000005344671|108|FOCO FLOURESCENTES|CAMBIAR|AREQUIPA - 215000|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|2
WO0000005344666|108|FOCO FLOURESCENTES|CAMBIAR|AREQUIPA - 215000|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|2
WO0000005344668|108|FOCO FLOURESCENTES|CAMBIAR|AREQUIPA - 215000|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|3
WO0000005344155|32|CAJA BUZON|APERTURAR|PARURO - 191047|Web HD|Cerrado|2025-06-24|25-06-25|28/06/2025|3
WO0000005344674|108|FOCO FLOURESCENTES|CAMBIAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|3
WO0000005344131|251|TUBERIA DE AGUA|REPARAR|CUSCO - 285000|Web HD|Cerrado|2025-06-24|09-07-25|12/07/2025|1
WO0000005344678|108|FOCO FLOURESCENTES|CAMBIAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|3
WO0000005344636|190|PUERTA / MAMPARA CERRADURA|APERTURAR|AREQUIPA - 215000|Web HD|Cerrado|2025-06-24|24-07-25|27/07/2025|3
WO0000005344675|108|FOCO FLOURESCENTES|CAMBIAR|PARQUE INDUSTRIAL (AREQUIPA) - 215005|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|1
WO0000005345557|139|LONCHERA CERRADURA|REEMPLAZAR|VITARTE - 191043|Web HD|Cerrado|2025-06-24|01-07-25|04/07/2025|1
WO0000005344673|108|FOCO FLOURESCENTES|CAMBIAR|PARQUE INDUSTRIAL (AREQUIPA) - 215005|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|3
WO0000005345536|75|DISPENSADOR DE PAPEL HIGIENICO|REPARAR|MARISCAL CACERES - 220002|Web HD|Cerrado|2025-06-24|07-07-25|10/07/2025|2
WO0000005344645|221|SILLAS|ORDENAR|AREQUIPA - 215000|Web HD|Cerrado|2025-06-24|25-06-25|28/06/2025|1
WO0000005344686|43|CAJONERA CERRADURA|REEMPLAZAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|2
WO0000005344688|43|CAJONERA CERRADURA|REEMPLAZAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|2
WO0000005345043|191|PUERTA/MAMPARA BISAGRA|REPARAR|AREQUIPA - 215000|Web HD|Cerrado|2025-06-24|01-07-25|04/07/2025|3
WO0000005345011|190|PUERTA / MAMPARA CERRADURA|APERTURAR|LA RAMBLA BRASIL - 191166|Web HD|Cerrado|2025-06-24|25-06-25|28/06/2025|1
WO0000005344691|74|DISPENSADOR DE JABON LIQUIDO|REPARAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|3
WO0000005344183|57|CONTADOR DE MONEDAS|REPARAR|CHOSICA - 191075|Web HD|Cerrado|2025-06-24|26-06-25|29/06/2025|1
WO0000005345518|255|UPS / ESTABILIZADOR|REVISAR|PARURO - 191047|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|3
WO0000005344680|43|CAJONERA CERRADURA|REEMPLAZAR|MESA REDONDA - 191069|Web HD|Cerrado|2025-06-24|24-06-25|27/06/2025|3
WO0000005345062|154|OFICINA|FUMIGAR|CUSCO - 285000|Web HD|Cerrado|2025-06-24|27-06-25|30/06/2025|3
WO0000005349810|71|DETECTOR DE HUMO|REPARAR|PUNO - 495000|Web HD|Cerrado|2025-06-25|04-07-25|07/07/2025|2
WO0000005349311|15|ATM|REVISAR|MOLICENTRO - 193004|Web HD|Cerrado|2025-06-25|02-07-25|05/07/2025|3
WO0000005349615|139|LONCHERA CERRADURA|REEMPLAZAR|VENEZUELA - 191026|Web HD|Cerrado|2025-06-25|02-07-25|05/07/2025|1
WO0000005349380|107|FOCO DICROICOS|CAMBIAR|LA SALLE - 191114|Web HD|Cerrado|2025-06-25|25-06-25|28/06/2025|1
WO0000005348586|108|FOCO FLOURESCENTES|REVISAR|LA FONTANA - 193054|Web HD|Cerrado|2025-06-25|01-07-25|04/07/2025|1
WO0000005349348|32|CAJA BUZON|APERTURAR|JULIACA - 405000|Web HD|Cerrado|2025-06-25|10-07-25|13/07/2025|3
WO0000005349396|43|CAJONERA CERRADURA|REEMPLAZAR|CAILLOMA - 191098|Web HD|Cerrado|2025-06-25|25-06-25|28/06/2025|2
WO0000005349322|146|MODULOS|REPARAR|CAYMA - 215002|Web HD|Cerrado|2025-06-25|26-06-25|29/06/2025|2
WO0000005348830|111|GRIFERIA|REVISAR|LA RAMBLA BRASIL - 191166|Web HD|Cerrado|2025-06-25|25-06-25|28/06/2025|1
WO0000005349812|136|LLAVE SHUNT|REPARAR|PUNO - 495000|Web HD|Cerrado|2025-06-25|03-07-25|06/07/2025|3
WO0000005349399|43|CAJONERA CERRADURA|REEMPLAZAR|CAILLOMA - 191098|Web HD|Cerrado|2025-06-25|25-06-25|28/06/2025|1
WO0000005349388|123|INODOROS|REVISAR|PARURO - 191047|Web HD|Cerrado|2025-06-25|25-06-25|28/06/2025|3
WO0000005349397|43|CAJONERA CERRADURA|REEMPLAZAR|CAILLOMA - 191098|Web HD|Cerrado|2025-06-25|25-06-25|28/06/2025|3
WO0000005349393|74|DISPENSADOR DE JABON LIQUIDO|REPARAR|PARURO - 191047|Web HD|Cerrado|2025-06-25|25-06-25|28/06/2025|3
WO0000005349392|43|CAJONERA CERRADURA|REEMPLAZAR|PARURO - 191047|Web HD|Cerrado|2025-06-25|25-06-25|28/06/2025|1
WO0000005349306|197|PULSADOR DE ASALTO|REPARAR|MERCADO DE PRODUCTORES - 191061|Web HD|Cerrado|2025-06-25|26-06-25|29/06/2025|2
WO0000005349389|65|CREDENZA CERRADURA|APERTURAR|PARURO - 191047|Web HD|Cerrado|2025-06-25|25-06-25|28/06/2025|2
WO0000005349813|41|CAJONERA|REPARAR|PUNO - 495000|Web HD|Cerrado|2025-06-25|03-07-25|06/07/2025|3
WO0000005349815|214|SENSOR DE ANIEGO|REPARAR|PUNO - 495000|Web HD|Cerrado|2025-06-25|02-07-25|05/07/2025|3
WO0000005349614|5|AIRE ACONDICIONADO|REPARAR|EL CARMEN - 315001|Web HD|Cerrado|2025-06-25|02-07-25|05/07/2025|2
WO0000005349383|54|COMEDOR MOBILIARIO|REPARAR|BOLOGNESI - 540002|Web HD|Cerrado|2025-06-25|24-07-25|27/07/2025|2
WO0000005348892|199|PUNTO / CABLE DE RED|REVISAR|PRIMAX MELGAREJO - 193084|Web HD|Rechazado|2025-06-25|||2
WO0000005348877|136|LLAVE SHUNT|REPARAR|CHACLACAYO - 191074|Web HD|Cerrado|2025-06-25|26-06-25|29/06/2025|1
WO0000005349353|74|DISPENSADOR DE JABON LIQUIDO|REPARAR|PARURO - 191047|Web HD|Rechazado|2025-06-25|||2
WO0000005349324|171|PISOS|LIMPIAR|AREQUIPA - 215000|Web HD|Cerrado|2025-06-25|26-06-25|29/06/2025|2
WO0000005349395|43|CAJONERA CERRADURA|REEMPLAZAR|CAILLOMA - 191098|Web HD|Cerrado|2025-06-25|25-06-25|28/06/2025|3
WO0000005349390|43|CAJONERA CERRADURA|REEMPLAZAR|PARURO - 191047|Web HD|Cerrado|2025-06-25|25-06-25|28/06/2025|1
WO0000005350484|240|TECHO /BALDOSAS|CAMBIAR|CAMANA - 250000|Web HD|Cerrado|2025-06-26|02-07-25|05/07/2025|2
WO0000005351021|188|PUERTA / MAMPARA|REPARAR|CAYMA - 215002|Web HD|Cerrado|2025-06-26|26-06-25|29/06/2025|1
WO0000005351064|122|INODORO TANQUE DE AGUA|REVISAR|CAYMA - 215002|Web HD|Cerrado|2025-06-26|26-06-25|29/06/2025|2
WO0000005350462|15|ATM|REVISAR|MOLICENTRO - 193004|Web HD|Cerrado|2025-06-26|02-07-25|05/07/2025|3
WO0000005350481|227|SISTEMA DE VIDEO|REPARACION|CAMANA - 250000|Web HD|Cerrado|2025-06-26|06-07-25|09/07/2025|3
WO0000005351045|113|GRUPO ELECTROGENO|REGARGAR COMBUSTIBLE|CONSTRUCTORES - 193005|Web HD|Cerrado|2025-06-26|03-07-25|06/07/2025|2
WO0000005352639|188|PUERTA / MAMPARA|REPARAR|LUREN - 380004|Web HD|Cerrado|2025-06-26|06-07-25|09/07/2025|3
WO0000005351054|56|CONTADOR DE BILLETES|REPARAR|EL CARMEN - 315001|Web HD|Rechazado|2025-06-26|||1
WO0000005351344|154|OFICINA|FUMIGAR|LOS RUISE ORES - 191115|Web HD|Cerrado|2025-06-26|07-07-25|10/07/2025|2
WO0000005351922|56|CONTADOR DE BILLETES|REPARAR|JULIACA - 405000|Web HD|Cerrado|2025-06-26|11-07-25|14/07/2025|2
WO0000005351346|154|OFICINA|FUMIGAR|CHINCHA - 315000|Web HD|Cerrado|2025-06-26|30-06-25|03/07/2025|3
WO0000005352667|121|INODORO FLUXOMETRO|REVISAR|SOCABAYA - 215017|Web HD|Rechazado|2025-06-26|||2
WO0000005351984|171|PISOS|RESANAR|MALL AVENTURA PLAZA SANTA ANITA - 191118|Web HD|Cerrado|2025-06-26|06-07-25|09/07/2025|3
WO0000005352669|56|CONTADOR DE BILLETES|REPARAR|JULIACA - 405000|Web HD|Cerrado|2025-06-26|11-07-25|14/07/2025|3
WO0000005350483|108|FOCO FLOURESCENTES|CAMBIAR|CAMANA - 250000|Web HD|Cerrado|2025-06-26|02-07-25|05/07/2025|2
WO0000005351015|5|AIRE ACONDICIONADO|REPARAR|EMANCIPACION - 191054|Web HD|Cerrado|2025-06-26|27-06-25|30/06/2025|1
WO0000005354751|163|PARED|RESANAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-06-28|30-06-25|03/07/2025|2
WO0000005354785|154|OFICINA|FUMIGAR|NAZCA - 440000|Web HD|Cerrado|2025-06-28|07-07-25|10/07/2025|1
WO0000005354983|154|OFICINA|FUMIGAR|MALA - 255002|Web HD|Cerrado|2025-06-29|07-07-25|10/07/2025|2
WO0000005356503|139|LONCHERA CERRADURA|REEMPLAZAR|CHOSICA - 191075|Web HD|Rechazado|2025-06-30|||2
WO0000005357636|249|TOMACORRIENTES|REVISAR|PISCO - 470000|Web HD|Cerrado|2025-06-30|02-07-25|05/07/2025|3
WO0000005358813|56|CONTADOR DE BILLETES|REPARAR|LOS DAMASCOS - 193038|Web HD|Rechazado|2025-06-30|||1
WO0000005355974|56|CONTADOR DE BILLETES|REPARAR|LA SALLE - 191114|Web HD|Rechazado|2025-06-30|||2
WO0000005357293|231|STICKER|REPONER|PUERTO MALDONADO - 485000|Web HD|Cerrado|2025-06-30|04-07-25|07/07/2025|1
WO0000005355965|34|CAJA FUERTE|REPARAR|EMANCIPACION - 191054|Web HD|Cerrado|2025-06-30|01-07-25|04/07/2025|2
WO0000005355946|69|DETECTOR DE BILLETES|REPARAR|LAS ALONDRAS - 191044|Web HD|Cerrado|2025-06-30|02-07-25|05/07/2025|2
WO0000005358115|107|FOCO DICROICOS|CAMBIAR|MOLLENDO - 425000|Web HD|Cerrado|2025-06-30|09-07-25|12/07/2025|2
WO0000005357691|32|CAJA BUZON|REPARAR|IMPERIAL - 255001|Web HD|Cerrado|2025-06-30|01-07-25|04/07/2025|3
WO0000005356354|56|CONTADOR DE BILLETES|REPARAR|CONSTRUCTORES - 193005|TELEFONO|Rechazado|2025-06-30|||2
WO0000005355917|56|CONTADOR DE BILLETES|REPARAR|MARIANO MELGAR - 215014|Web HD|Cerrado|2025-06-30|09-07-25|12/07/2025|1
WO0000005357696|108|FOCO FLOURESCENTES|CAMBIAR|IMPERIAL - 255001|Web HD|Cerrado|2025-06-30|13-07-25|16/07/2025|2
WO0000005358118|108|FOCO FLOURESCENTES|CAMBIAR|MOLLENDO - 425000|Web HD|Cerrado|2025-06-30|14-07-25|17/07/2025|3
WO0000005357621|163|PARED|LIMPIAR|PARCONA - 380007|Web HD|Cerrado|2025-06-30|02-07-25|05/07/2025|2
WO0000005355939|171|PISOS|LIMPIAR|LA MERCED (AREQUIPA) - 215003|Web HD|Cerrado|2025-06-30|03-07-25|06/07/2025|1
WO0000005357625|163|PARED|PINTAR|TRAVELLERS POINT CUSCO - 285007|Web HD|Cerrado|2025-06-30|01-07-25|04/07/2025|1
WO0000005364048|56|CONTADOR DE BILLETES|REPARAR|CUSCO - 285000|Web HD|Cerrado|2025-07-01|17-07-25|20/07/2025|2
WO0000005364441|255|UPS / ESTABILIZADOR|REVISAR|AREQUIPA - 215000|Web HD|Cerrado|2025-07-01|16-07-25|19/07/2025|2
WO0000005365025|240|TECHO /BALDOSAS|CAMBIAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-07-01|01-07-25|04/07/2025|1
WO0000005365017|43|CAJONERA CERRADURA|REEMPLAZAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-07-01|01-07-25|04/07/2025|3
WO0000005362730|56|CONTADOR DE BILLETES|REPARAR|LA SALLE - 191114|Web HD|Cerrado|2025-07-01|04-07-25|07/07/2025|3
WO0000005365028|123|INODOROS|REVISAR|VITARTE - 191043|Web HD|Cerrado|2025-07-01|01-07-25|04/07/2025|1
WO0000005365026|123|INODOROS|REVISAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-07-01|01-07-25|04/07/2025|3
WO0000005365004|123|INODOROS|REVISAR|RAUL FERRERO - 193012|Web HD|Cerrado|2025-07-01|01-07-25|04/07/2025|2
WO0000005362270|188|PUERTA / MAMPARA|REPARAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-07-01|06-07-25|09/07/2025|1
WO0000005365027|108|FOCO FLOURESCENTES|CAMBIAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-07-01|01-07-25|04/07/2025|3
WO0000005362260|57|CONTADOR DE MONEDAS|REPARAR|MUSA - 193050|Web HD|Cerrado|2025-07-01|14-07-25|17/07/2025|2
WO0000005362782|56|CONTADOR DE BILLETES|REPARAR|CONSTRUCTORES - 193005|Web HD|Cerrado|2025-07-01|07-07-25|10/07/2025|3
WO0000005364028|56|CONTADOR DE BILLETES|REPARAR|PARURO - 191047|Web HD|Cerrado|2025-07-01|11-07-25|14/07/2025|3
WO0000005364429|56|CONTADOR DE BILLETES|REPARAR|MARIANO MELGAR - 215014|Web HD|Cerrado|2025-07-01|08-07-25|11/07/2025|2
WO0000005365011|64|CREDENZA|REPARAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-07-01|01-07-25|04/07/2025|2
WO0000005365014|41|CAJONERA|REPARAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-07-01|01-07-25|04/07/2025|1
WO0000005365010|41|CAJONERA|REPARAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-07-01|01-07-25|04/07/2025|3
WO0000005365031|130|LAVATORIO|REPARAR|VITARTE - 191043|Web HD|Cerrado|2025-07-01|01-07-25|04/07/2025|2
WO0000005362244|188|PUERTA / MAMPARA|REPARAR|MALL AVENTURA PLAZA AREQUIPA - 215011|Web HD|Cerrado|2025-07-01|03-07-25|06/07/2025|2
WO0000005364032|251|TUBERIA DE AGUA|REPARAR|LUREN - 380004|Web HD|Cerrado|2025-07-01|06-07-25|09/07/2025|2
WO0000005362237|190|PUERTA / MAMPARA CERRADURA|REEMPLAZAR|TOWN SITE - 385001|Web HD|Cerrado|2025-07-01|21-07-25|24/07/2025|2
WO0000005365007|251|TUBERIA DE AGUA|REPARAR|LOS DAMASCOS - 193038|Web HD|Cerrado|2025-07-01|01-07-25|04/07/2025|3
WO0000005367036|154|OFICINA|FUMIGAR|CHINCHA - 315000|Web HD|Cerrado|2025-07-02|07-07-25|10/07/2025|2
WO0000005368214|43|CAJONERA CERRADURA|DUPLICADO DE LLAVE|LARAPA - 285005|Web HD|Rechazado|2025-07-02|||1
WO0000005369067|264|VINIL|REPONER|BUSTAMANTE Y RIVERO - 215010|Web HD|Cerrado|2025-07-02|15-07-25|18/07/2025|2
WO0000005369936|190|PUERTA / MAMPARA CERRADURA|REEMPLAZAR|AREQUIPA - 215000|Web HD|Cerrado|2025-07-02|20-07-25|23/07/2025|2
WO0000005368675|74|DISPENSADOR DE JABON LIQUIDO|REPARAR|CONSTRUCTORES - 193005|Web HD|Cerrado|2025-07-02|08-07-25|11/07/2025|2
WO0000005369031|188|PUERTA / MAMPARA|REPARAR|PURUCHUCO - 191020|Web HD|Cerrado|2025-07-02|02-07-25|05/07/2025|1
WO0000005368690|188|PUERTA / MAMPARA|REPARAR|LA RAMBLA BRASIL - 191166|Web HD|Cerrado|2025-07-02|02-07-25|05/07/2025|1
WO0000005368698|123|INODOROS|DESATORAR|LA SALLE - 191114|Web HD|Cerrado|2025-07-02|02-07-25|05/07/2025|1
WO0000005369028|188|PUERTA / MAMPARA|REPARAR|LA RAMBLA BRASIL - 191166|Web HD|Cerrado|2025-07-02|02-07-25|05/07/2025|1
WO0000005368641|43|CAJONERA CERRADURA|DUPLICADO DE LLAVE|LOS RUISE ORES - 191115|Web HD|Cerrado|2025-07-02|06-07-25|09/07/2025|3
WO0000005367044|197|PULSADOR DE ASALTO|REPARAR|MARISCAL CACERES - 220002|Web HD|Cerrado|2025-07-02|20-07-25|23/07/2025|2
WO0000005368247|190|PUERTA / MAMPARA CERRADURA|REEMPLAZAR|LA FONTANA - 193054|Web HD|Cerrado|2025-07-02|03-07-25|06/07/2025|1
